FIX_CNTL_NUMBER,OLD_NAME,NEW_NAME,PUB_DT,lat_dec_deg,lon_dec_deg,city,state
1497,OHENU,CFVPP,4/27/2017,27.86656667,-81.08786389,Whittier, FL
3523,UPTON,HOPEK,7/16/2020,31.5063,-82.79002222,Douglas, GA
3741,AGUAS,FISPI,11/5/2020,31.89610833,-106.2676917,Homestead Meadows North, TX
3763,ACORN,SPWAY,9/10/2020,31.92292222,-95.29681667,Jacksonville, TX
4254,IJBEW,BLSKY,4/25/2019,32.56308611,-83.82141944,Fort Valley, GA
4318,EHVEZ,ALLMN,4/25/2019,32.62933333,-83.734875,Byron, GA
4542,ADDIS,NRTHH,9/7/2023,32.80202222,-96.76386667,Dallas, TX
5158,ROPSS,ANDYA,12/29/2022,33.40188611,-96.11958333,Wolfe City, TX
5455,SOAKS,SODDY,2/4/2016,33.61700556,-90.39842222,Schlater, MS
5736,BOTAW,CFCJF,10/5/2023,33.86169444,-106.9110639,San Antonito, NM
5883,LIMMA,JIANA,2/25/2021,33.94846083,-118.2735678,Los Angeles, CA
5883,JIANA,GIGII,5/20/2021,33.94846083,-118.2735678,Los Angeles, CA
6394,RAPEN,JAYDB,12/6/2018,34.32169444,-78.36316944,Bolton, NC
6648,ADULT,TODYY,10/5/2023,34.57897222,-89.51654722,Abbeville, MS
7145,COVIM,GRIIT,11/30/2023,35.05131111,-89.73430833,Collierville, TN
7381,BLEWS,MCVEY,3/5/2015,35.26278056,-89.99204444,Memphis, TN
7900,BARNS,JABDO,5/21/2020,35.74215833,-96.44925833,Gypsy, OK
8963,KAMLY,STERL,11/3/2022,36.69300528,-94.021755,Exeter, MO
9050,EFFCO,COKPT,11/3/2022,36.80980972,-94.01758167,Purdy, MO
9247,JFOXX,SOFWR,11/3/2022,36.99933167,-94.01078361,Pierce City, MO
9331,REXXX,PHENM,11/3/2022,37.0994175,-94.00718028,Stotts City, MO
9832,AFEWU,HELVA,6/22/2017,37.58985667,-121.3025125,Manteca, CA
10273,DARRY,KASKL,9/13/2018,38.00329167,-87.59801667,Evansville, IN
11044,TRAKE,KOOOP,10/12/2017,38.69190556,-91.74258056,Chamois, MO
11207,CROFT,PADVE,2/25/2021,38.79420833,-76.97800278,Fort Washington, MD
12282,GAYLY,TUSKG,12/2/2021,39.56019444,-94.62621667,Gower, MO
15019,KLINE,KLOEE,5/24/2018,41.26356667,-84.19396389,Holgate, OH
15630,RUBER,CAMMO,9/13/2018,41.62550278,-74.55091667,Rock Hill, NY
15725,CAVVS,CALVS,12/10/2015,41.68406389,-83.56904722,Toledo, OH
15973,PUMKN,TODDO,9/15/2016,41.84232222,-95.35872222,Defiance, IA
16244,COYNU,CATRO,6/22/2017,42.03689444,-85.06010278,Coldwater, MI
16244,COYNU,CFLTH,3/24/2022,42.03689444,-85.06010278,Coldwater, MI
17932,GIWFI,FEZNT,12/2/2021,43.40496667,-96.62543611,Harrisburg, SD
17961,DEZZO,OXIWE,8/20/2015,43.45496361,-85.07140694,Wyman, MI
18721,UCCOX,YUDUL,4/30/2015,44.60596944,-69.893175,Rome, ME
18785,UNION,BFFLO,1/8/2015,44.72481667,-102.9527028,Union Center, SD
18865,CECIL,WISOM,4/25/2019,44.82469167,-88.504475,Shawano, WI
19273,SEXPE,SCUDZ,12/29/2022,45.60016389,-108.0206444,Hardin, MT
19693,CFGAD,WYGEE,1/27/2022,46.57809444,-105.6573778,Kinsey, MT
19896,AYIHE,CFBPC,8/10/2023,47.09983056,-92.35300278,Shaw, MN
19927,AFGAP,CFCFF,10/15/2015,47.16278611,-122.7333278,Anderson Island, WA
20099,ABORN,UYIGI,1/8/2015,47.59112778,-111.2032472,Great Falls, MT
20171,SWAUK,ODAHL,9/15/2016,47.82788611,-120.7985778,Telma, WA
20892,SUWWO,ZEVOD,9/10/2020,61.54780833,-160.0374389,N/A,
23351,NADIA,MHILL,3/26/2020,35.12842806,-118.0580597,California City, CA
23514,SQUAW,TARRS,10/5/2023,44.31284167,-99.01395278,Ames, SD
23627,EHJOJ,FLIMM,10/5/2023,34.479175,-89.52696111,Abbeville, MS
23647,MAFXO,GLLLM,10/5/2023,34.38488056,-89.53677778,Oxford, MS
23679,NULME,NEDUE,2/4/2016,33.6286,-90.18037778,Money, MS
23680,NUMXO,LAARI,2/4/2016,33.48273056,-90.49535833,Moorhead, MS
24058,MACWO,CFVPW,9/15/2016,34.08179167,-118.0365833,El Monte, CA
24162,IZZOM,PERRL,6/17/2021,34.45054722,-109.0479917,Saint Johns, AZ
24222,MAHKU,CFVFM,9/15/2016,34.08593333,-118.0323,El Monte, CA
24474,NUPUQ,TUCKB,1/8/2015,47.39821944,-111.6836806,Ulm, MT
25262,KOVYE,WILOP,5/24/2018,40.053375,-98.31208889,Guide Rock, NE
25622,DOSEL,MYZKA,6/17/2021,44.27289167,-88.01724167,Morrison, WI
26469,SEWRU,SAWSH,9/10/2020,41.75971694,-97.41189,Madison, NE
26471,SIKAZ,ROTTA,9/10/2020,42.06664361,-97.73479972,Meadow Grove, NE
26472,SIMZU,REDII,9/10/2020,42.21703889,-97.50243889,Pierce, NE
26481,VEDTI,YANKK,9/10/2020,42.13393889,-97.18531389,Winside, NE
26482,VEFMA,URONN,9/10/2020,42.22121444,-97.47060667,Pierce, NE
26483,VEGRY,RREVV,9/10/2020,41.91360833,-97.14824417,Stanton, NE
26484,VEPCU,VAUNN,9/10/2020,41.76006222,-97.36273222,Madison, NE
26500,EMETE,BLLIS,2/23/2023,35.28861667,-89.38094167,Somerville, TN
26502,OPTAW,RSTEE,2/23/2023,35.42090278,-89.35878333,Zu Zu, TN
29210,MAJEM,CFRJM,5/24/2018,40.52244444,-82.84525556,Mount Gilead, OH
29302,VOGNU,PGLSI,7/21/2016,35.33145,-97.52685278,Oklahoma City, OK
29304,WUYAS,ELUCK,3/3/2016,35.45168889,-97.67333889,Oklahoma City, OK
29413,FELUR,MAZOU,12/7/2017,39.38662778,-94.67784722,Kansas City, MO
29904,WORDI,BARJR,2/4/2016,40.76522028,-73.67345583,Roslyn, NY
30198,WITZI,WZDOM,8/15/2019,29.6865,-95.06577222,La Porte, TX
31092,OYAVY,KROAK,10/5/2023,36.30916361,-95.8922975,Tulsa, OK
31653,JETSA,KOBBB,2/25/2021,33.96498278,-118.2754289,Los Angeles, CA
31653,KOBBB,KOBEE,5/20/2021,33.96498278,-118.2754289,Los Angeles, CA
32860,HLDOL,CFCJN,8/10/2023,48.60387778,-93.42113611,Fort Frances, ON
33349,TOUGH,SWTHN,12/5/2019,46.23288611,-105.2145278,Mizpah, MT
33545,LEKME,EKJAY,4/27/2017,21.32501944,-158.2199361,Nānākuli, HI
33797,CDSCC,CFRTQ,4/25/2019,49.00033333,-95.89891667,Wampum, MB
33798,JGKGR,CFFQV,11/30/2023,48.59071667,-93.47093889,Fort Frances, ON
33802,JGTSC,ARBBY,8/12/2021,48.62481944,-93.008775,N/A,
33805,RNPSB,CFBPF,9/10/2020,45.013225,-71.51876944,Canaan, VT
33808,MWNNV,CFCHM,8/17/2017,42.64581667,-79.42146111,N/A,
33899,KDNKD,CFDTS,11/30/2023,48.59968056,-93.42903611,International Falls, MN
34069,DCDGG,DEPRI,11/8/2018,45.9537,-70.25661944,Saint-Théophile, QC
34083,COLDI,BUHRS,7/21/2016,44.685785,-124.0658628,Newport, OR
34100,HIMLA,SHRLE,3/2/2017,29.44469167,-98.21595556,Saint Hedwig, TX
34226,OLDAE,KVERN,2/4/2016,39.87485833,-104.3446944,Strasburg, CO
34274,JOBEL,SCRBY,1/30/2020,43.09641389,-76.46771111,Jordan, NY
35806,IPNAW,CFBZK,3/5/2015,33.30366667,-117.8801667,N/A,
36936,DECKE,PTREO,6/20/2019,30.52198611,-88.10386111,Theodore, AL
37842,COREK,WUPUP,7/21/2016,46.65379167,-67.73266111,Perth-Andover, NB
38024,JAGOS,POGEE,2/25/2021,33.60173861,-81.88287028,North Augusta, SC
38030,KEBKE,WASAP,2/25/2021,33.55385472,-82.15622667,Evans, GA
38150,BUVAY,SWLTR,9/15/2016,28.524275,-81.388,Orlando, FL
38838,NAVYE,SPERA,3/29/2018,32.78270833,-96.99501389,Grand Prairie, TX
45748,CEVSA,UHEFY,9/13/2018,42.88695528,-87.61706306,N/A,
45994,JEDSU,SHERK,5/24/2018,41.48878333,-81.73275556,Cleveland, OH
46058,DEYAP,ZOLBO,9/13/2018,42.73967528,-87.83712139,Mount Pleasant, WI
51322,WPACA,CUTTS,7/16/2020,44.33900056,-89.16537333,Waupaca, WI
52662,ZIXUB,CFBTX,3/5/2015,45.72411667,-87.47028333,Wilson, MI
54930,EYIYA,CFCGG,1/5/2017,35.37931667,-106.2927278,Placitas, NM
55129,KAYWY,WAVIN,9/13/2018,28.17,-81.41944444,Poinciana, FL
55130,PACCA,DREKS,9/13/2018,28.51777778,-81.42416667,Orlando, FL
55131,SHBAG,SPYDR,9/13/2018,28.34805556,-81.42416667,Orlando, FL
55373,HIPPE,AYAYE,6/17/2021,38.42206389,-103.9251972,Olney Springs, CO
55557,FEXAK,GAALO,8/17/2017,40.66929083,-73.736055,New York, NY
55611,OTICI,BCOAT,6/22/2017,37.04363611,-76.52229444,Newport News, VA
58487,NICHY,PEAKK,7/14/2022,47.35216667,-122.3096667,Federal Way, WA
59265,TRYBE,YYOUR,8/20/2015,41.66908611,-82.68325556,Kelleys Island, OH
59471,IBIYA,ETEEN,10/5/2023,34.38557944,-89.64390278,Oxford, MS
59510,FOVAB,GROVV,10/5/2023,34.38145278,-89.3149,Thaxton, MS
